,Card Name,Decks,Avg,total copies played,colors,convertedManaCost,manaCost,rarity,types,supertypes,subtypes,power,toughness,text
1577,Path to Exile,0.012,3.5,18.144,W,1,{W},uncommon,Instant,,,,,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle their library."
1594,Soltari Priest,0.012,3.5,18.144,W,2,{W}{W},rare,Creature,,"Soltari,Cleric",2,1,"Protection from red
Shadow (This creature can block or be blocked by only creatures with shadow.)"
1604,Thragtusk,0.012,3.5,18.144,G,5,{4}{G},rare,Creature,,Beast,5,3,"When Thragtusk enters the battlefield, you gain 5 life.
When Thragtusk leaves the battlefield, create a 3/3 green Beast creature token."
1608,Umezawa's Jitte,0.012,3.5,18.144,,2,{2},rare,Artifact,Legendary,Equipment,,,"Whenever equipped creature deals combat damage, put two charge counters on Umezawa's Jitte.
Remove a charge counter from Umezawa's Jitte: Choose one â€”
â€¢ Equipped creature gets +2/+2 until end of turn.
â€¢ Target creature gets -1/-1 until end of turn.
â€¢ You gain 2 life.
Equip {2}"
1613,Become Immense,0.016,2.6,17.9712,G,6,{5}{G},uncommon,Instant,,,,,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Target creature gets +6/+6 until end of turn."
1616,Spell Pierce,0.016,2.6,17.9712,U,1,{U},common,Instant,,,,,Counter target noncreature spell unless its controller pays {2}.
1620,Supreme Verdict,0.016,2.6,17.9712,"U,W",4,{1}{W}{W}{U},rare,Sorcery,,,,,"This spell can't be countered.
Destroy all creatures."
1625,Tragic Slip,0.016,2.6,17.9712,B,1,{B},common,Instant,,,,,"Target creature gets -1/-1 until end of turn.
Morbid â€” That creature gets -13/-13 until end of turn instead if a creature died this turn."
1632,Rekindling Phoenix,0.014,2.9,17.5392,R,4,{2}{R}{R},mythic,Creature,,Phoenix,4,3,"Flying
When Rekindling Phoenix dies, create a 0/1 red Elemental creature token with ""At the beginning of your upkeep, sacrifice this creature and return target card named Rekindling Phoenix from your graveyard to the battlefield. It gains haste until end of turn."""
1635,Midnight Reaper,0.016,2.5,17.28,B,3,{2}{B},rare,Creature,,"Zombie,Knight",3,2,"Whenever a nontoken creature you control dies, Midnight Reaper deals 1 damage to you and you draw a card."
1637,Angel of Invention,0.01,4,17.28,W,5,{3}{W}{W},mythic,Creature,,Angel,2,1,"Flying, vigilance, lifelink
Fabricate 2 (When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)
Other creatures you control get +1/+1."
1639,Butcher of the Horde,0.01,4,17.28,"B,R,W",4,{1}{R}{W}{B},rare,Creature,,Demon,5,4,"Flying
Sacrifice another creature: Butcher of the Horde gains your choice of vigilance, lifelink, or haste until end of turn."
1641,Champion of Wits,0.01,4,17.28,U,3,{2}{U},rare,Creature,,"Naga,Wizard",2,1,"When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards.
Eternalize {5}{U}{U} ({5}{U}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Naga Wizard with no mana cost. Eternalize only as a sorcery.)"
1643,Char,0.01,4,17.28,R,3,{2}{R},rare,Instant,,,,,Char deals 4 damage to any target and 2 damage to you.
1648,Foundry Street Denizen,0.01,4,17.28,R,1,{R},common,Creature,,"Goblin,Warrior",1,1,"Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn."
1652,God-Pharaoh's Gift,0.01,4,17.28,,7,{7},rare,Artifact,,,,,"At the beginning of combat on your turn, you may exile a creature card from your graveyard. If you do, create a token that's a copy of that card, except it's a 4/4 black Zombie. It gains haste until end of turn."
1654,Grapple with the Past,0.01,4,17.28,G,2,{1}{G},common,Instant,,,,,"Put the top three cards of your library into your graveyard, then you may return a creature or land card from your graveyard to your hand."
1657,Ironclaw Orcs,0.01,4,17.28,R,2,{1}{R},common,Creature,,Orc,2,2,Ironclaw Orcs can't block creatures with power 2 or greater.
1671,Jackal Pup,0.01,4,17.28,R,1,{R},common,Creature,,Jackal,2,1,"Whenever Jackal Pup is dealt damage, it deals that much damage to you."
1679,Khalni Heart Expedition,0.01,4,17.28,G,2,{1}{G},common,Enchantment,,,,,"Landfall â€” Whenever a land enters the battlefield under your control, you may put a quest counter on Khalni Heart Expedition.
Remove three quest counters from Khalni Heart Expedition and sacrifice it: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library."
1684,Lightning Helix,0.01,4,17.28,"R,W",2,{R}{W},uncommon,Instant,,,,,Lightning Helix deals 3 damage to any target and you gain 3 life.
1695,Opposition,0.01,4,17.28,U,4,{2}{U}{U},rare,Enchantment,,,,,"Tap an untapped creature you control: Tap target artifact, creature, or land."
1700,Refurbish,0.01,4,17.28,W,4,{3}{W},uncommon,Sorcery,,,,,Return target artifact card from your graveyard to the battlefield.
1702,Sprouting Thrinax,0.01,4,17.28,"B,G,R",3,{B}{R}{G},uncommon,Creature,,Lizard,3,3,"When Sprouting Thrinax dies, create three 1/1 green Saproling creature tokens."
1709,Strategic Planning,0.01,4,17.28,U,2,{1}{U},uncommon,Sorcery,,,,,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.
1714,Thoughtcast,0.01,4,17.28,U,5,{4}{U},common,Sorcery,,,,,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
Draw two cards."
1720,Wood Elves,0.01,4,17.28,G,3,{2}{G},common,Creature,,"Elf,Scout",1,1,"When Wood Elves enters the battlefield, search your library for a Forest card and put that card onto the battlefield. Then shuffle your library."
1736,Compulsion,0.012,3.3,17.1072,U,2,{1}{U},uncommon,Enchantment,,,,,"{1}{U}, Discard a card: Draw a card.
{1}{U}, Sacrifice Compulsion: Draw a card."
1738,Moment's Peace,0.012,3.3,17.1072,G,2,{1}{G},common,Instant,,,,,"Prevent all combat damage that would be dealt this turn.
Flashback {2}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1741,Nevinyrral's Disk,0.012,3.3,17.1072,,4,{4},rare,Artifact,,,,,"Nevinyrral's Disk enters the battlefield tapped.
{1}, {T}: Destroy all artifacts, creatures, and enchantments."
1768,Negate,0.026,1.5,16.848,U,2,{1}{U},common,Instant,,,,,Counter target noncreature spell.
1791,Bonfire of the Damned,0.012,3.2,16.5888,R,1,{X}{X}{R},mythic,Sorcery,,,,,"Bonfire of the Damned deals X damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Miracle {X}{R} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)"
1793,Cultivate,0.012,3.2,16.5888,G,3,{2}{G},common,Sorcery,,,,,"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library."
1810,Legion's Landing,0.012,3.2,16.5888,W,1,{W},rare,Enchantment,Legendary,,,,"When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink.
When you attack with three or more creatures, transform Legion's Landing."
1813,Olivia Voldaren,0.012,3.2,16.5888,"B,R",4,{2}{B}{R},mythic,Creature,Legendary,Vampire,3,3,"Flying
{1}{R}: Olivia Voldaren deals 1 damage to another target creature. That creature becomes a Vampire in addition to its other types. Put a +1/+1 counter on Olivia Voldaren.
{3}{B}{B}: Gain control of target Vampire for as long as you control Olivia Voldaren."
1815,Rattleclaw Mystic,0.012,3.2,16.5888,G,2,{1}{G},rare,Creature,,"Human,Shaman",2,1,"{T}: Add {G}, {U}, or {R}.
Morph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Rattleclaw Mystic is turned face up, add {G}{U}{R}."
1819,Summoning Trap,0.012,3.2,16.5888,G,6,{4}{G}{G},rare,Instant,,Trap,,,"If a creature spell you cast this turn was countered by a spell or ability an opponent controlled, you may pay {0} rather than pay this spell's mana cost.
Look at the top seven cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order."
1821,Temur Battle Rage,0.012,3.2,16.5888,R,2,{1}{R},common,Instant,,,,,"Target creature gains double strike until end of turn. (It deals both first-strike and regular combat damage.)
Ferocious â€” That creature also gains trample until end of turn if you control a creature with power 4 or greater."
1823,Venerated Loxodon,0.012,3.2,16.5888,W,5,{4}{W},rare,Creature,,"Elephant,Cleric",4,4,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of the creature's color.)
When Venerated Loxodon enters the battlefield, put a +1/+1 counter on each creature that convoked it."
1826,Commune with the Gods,0.016,2.4,16.5888,G,2,{1}{G},common,Sorcery,,,,,Reveal the top five cards of your library. You may put a creature or enchantment card from among them into your hand. Put the rest into your graveyard.
1829,Azorius Signet,0.01,3.8,16.416,"B,W",2,{2},common,Artifact,,,,,"{1}, {T}: Add {W}{U}."
1838,Honor of the Pure,0.01,3.8,16.416,W,2,{1}{W},rare,Enchantment,,,,,White creatures you control get +1/+1.
1845,Kozilek's Return,0.01,3.8,16.416,R,3,{2}{R},mythic,Instant,,,,,"Devoid (This card has no color.)
Kozilek's Return deals 2 damage to each creature.
Whenever you cast an Eldrazi creature spell with converted mana cost 7 or greater, you may exile Kozilek's Return from your graveyard. If you do, Kozilek's Return deals 5 damage to each creature."
1847,Minister of Inquiries,0.01,3.8,16.416,U,1,{U},uncommon,Creature,,"Vedalken,Advisor",1,2,"When Minister of Inquiries enters the battlefield, you get {E}{E} (two energy counters).
{T}, Pay {E}: Target player puts the top three cards of their library into their graveyard."
1848,Perilous Vault,0.01,3.8,16.416,,4,{4},mythic,Artifact,,,,,"{5}, {T}, Exile Perilous Vault: Exile all nonland permanents."
1849,Disfigure,0.018,2.1,16.3296,B,1,{B},common,Instant,,,,,Target creature gets -2/-2 until end of turn.
1854,"Garruk, Primal Hunter",0.018,2.1,16.3296,G,5,{2}{G}{G}{G},mythic,Planeswalker,Legendary,Garruk,,,"[+1]: Create a 3/3 green Beast creature token.
[âˆ’3]: Draw cards equal to the greatest power among creatures you control.
[âˆ’6]: Create a 6/6 green Wurm creature token for each land you control."
1857,Arc Lightning,0.014,2.7,16.3296,R,3,{2}{R},common,Sorcery,,,,,"Arc Lightning deals 3 damage divided as you choose among one, two, or three targets."
1868,Green Sun's Zenith,0.014,2.7,16.3296,G,1,{X}{G},rare,Sorcery,,,,,"Search your library for a green creature card with converted mana cost X or less, put it onto the battlefield, then shuffle your library. Shuffle Green Sun's Zenith into its owner's library."
1871,Pillar of Flame,0.016,2.3,15.8976,R,1,{R},common,Sorcery,,,,,"Pillar of Flame deals 2 damage to any target. If a creature dealt damage this way would die this turn, exile it instead."
1875,Ravenous Chupacabra,0.016,2.3,15.8976,B,4,{2}{B}{B},uncommon,Creature,,"Beast,Horror",2,2,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls."
1878,Tarfire,0.016,2.3,15.8976,R,1,{R},common,"Tribal,Instant",,Goblin,,,Tarfire deals 2 damage to any target.
1883,Fireball,0.014,2.6,15.7248,R,1,{X}{R},common,Sorcery,,,,,"This spell costs {1} more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets."
1919,Heart of Kiran,0.014,2.6,15.7248,,2,{2},mythic,Artifact,Legendary,Vehicle,4,4,"Flying, vigilance
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
You may remove a loyalty counter from a planeswalker you control rather than pay Heart of Kiran's crew cost."
1921,Memory Lapse,0.012,3,15.552,U,2,{1}{U},common,Instant,,,,,"Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard."
1936,Mirari's Wake,0.012,3,15.552,"G,W",5,{3}{G}{W},mythic,Enchantment,,,,,"Creatures you control get +1/+1.
Whenever you tap a land for mana, add one mana of any type that land produced."
1946,Nekrataal,0.012,3,15.552,B,4,{2}{B}{B},uncommon,Creature,,"Human,Assassin",2,1,"First strike
When Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated."
1957,Repulse,0.012,3,15.552,U,3,{2}{U},common,Instant,,,,,"Return target creature to its owner's hand.
Draw a card."
1965,Scavenging Ooze,0.012,3,15.552,G,2,{1}{G},rare,Creature,,Ooze,2,2,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life."
1972,Ball Lightning,0.01,3.6,15.552,R,3,{R}{R}{R},rare,Creature,,Elemental,6,1,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning."
1985,Fireblast,0.01,3.6,15.552,R,6,{4}{R}{R},common,Instant,,,,,"You may sacrifice two Mountains rather than pay this spell's mana cost.
Fireblast deals 4 damage to any target."
1995,Hinder,0.01,3.6,15.552,U,3,{1}{U}{U},uncommon,Instant,,,,,"Counter target spell. If that spell is countered this way, put that card on the top or bottom of its owner's library instead of into that player's graveyard."
2000,Ohran Viper,0.01,3.6,15.552,G,3,{1}{G}{G},rare,Creature,Snow,Snake,1,3,"Whenever Ohran Viper deals combat damage to a creature, destroy that creature at end of combat.
Whenever Ohran Viper deals combat damage to a player, you may draw a card."
2003,Inferno Titan,0.018,2,15.552,R,6,{4}{R}{R},mythic,Creature,,Giant,6,6,"{R}: Inferno Titan gets +1/+0 until end of turn.
Whenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three targets."
2011,"Sarkhan, the Dragonspeaker",0.018,2,15.552,R,5,{3}{R}{R},mythic,Planeswalker,Legendary,Sarkhan,,,"[+1]: Until end of turn, Sarkhan, the Dragonspeaker becomes a legendary 4/4 red Dragon creature with flying, indestructible, and haste. (He doesn't lose loyalty while he's not a planeswalker.)
[âˆ’3]: Sarkhan, the Dragonspeaker deals 4 damage to target creature.
[âˆ’6]: You get an emblem with ""At the beginning of your draw step, draw two additional cards"" and ""At the beginning of your end step, discard your hand."""
2012,Uktabi Orangutan,0.018,1.9,14.7744,G,3,{2}{G},uncommon,Creature,,Ape,2,2,"When Uktabi Orangutan enters the battlefield, destroy target artifact."
2023,Howling Mine,0.01,3.4,14.688,,2,{2},rare,Artifact,,,,,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card."
2044,Huntmaster of the Fells,0.01,3.4,14.688,"G,R",4,{2}{R}{G},mythic,Creature,,"Human,Werewolf",2,2,"Whenever this creature enters the battlefield or transforms into Huntmaster of the Fells, create a 2/2 green Wolf creature token and you gain 2 life.
At the beginning of each upkeep, if no spells were cast last turn, transform Huntmaster of the Fells."
2046,Inquisition of Kozilek,0.01,3.4,14.688,B,1,{B},rare,Sorcery,,,,,Target player reveals their hand. You choose a nonland card from it with converted mana cost 3 or less. That player discards that card.
2051,Maelstrom Pulse,0.01,3.4,14.688,"B,G",3,{1}{B}{G},rare,Sorcery,,,,,Destroy target nonland permanent and all other permanents with the same name as that permanent.
2059,Mind Stone,0.01,3.4,14.688,,2,{2},uncommon,Artifact,,,,,"{T}: Add {C}.
{1}, {T}, Sacrifice Mind Stone: Draw a card."
2074,Putrefy,0.016,2.1,14.5152,"B,G",3,{1}{B}{G},uncommon,Instant,,,,,Destroy target artifact or creature. It can't be regenerated.
2091,Avenger of Zendikar,0.014,2.4,14.5152,G,7,{5}{G}{G},mythic,Creature,,Elemental,5,5,"When Avenger of Zendikar enters the battlefield, create a 0/1 green Plant creature token for each land you control.
Landfall â€” Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control."
2096,Pyroclasm,0.012,2.8,14.5152,R,2,{1}{R},uncommon,Sorcery,,,,,Pyroclasm deals 2 damage to each creature.
2116,Sea Gate Oracle,0.012,2.7,13.9968,U,3,{2}{U},common,Creature,,"Human,Wizard",1,3,"When Sea Gate Oracle enters the battlefield, look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library."
2122,Terminate,0.012,2.7,13.9968,"B,R",2,{B}{R},common,Instant,,,,,Destroy target creature. It can't be regenerated.
2140,Traverse the Ulvenwald,0.012,2.7,13.9968,G,1,{G},rare,Sorcery,,,,,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.
Delirium â€” If there are four or more card types among cards in your graveyard, instead search your library for a creature or land card, reveal it, put it into your hand, then shuffle your library."
2142,Gideon Jura,0.018,1.8,13.9968,W,5,{3}{W}{W},mythic,Planeswalker,Legendary,Gideon,,,"[+2]: During target opponent's next turn, creatures that player controls attack Gideon Jura if able.
[âˆ’2]: Destroy target tapped creature.
[0]: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn."
2149,Searing Spear,0.014,2.3,13.9104,R,2,{1}{R},common,Instant,,,,,Searing Spear deals 3 damage to any target.
2153,"Teferi, Mage of Zhalfir",0.014,2.3,13.9104,U,5,{2}{U}{U}{U},rare,Creature,Legendary,"Human,Wizard",3,4,"Flash (You may cast this spell any time you could cast an instant.)
Creature cards you own that aren't on the battlefield have flash.
Each opponent can cast spells only any time they could cast a sorcery."
2156,Dismember,0.016,2,13.824,B,3,{1}{B/P}{B/P},rare,Instant,,,,,"({B/P} can be paid with either {B} or 2 life.)
Target creature gets -5/-5 until end of turn."
2162,Warleader's Helix,0.016,2,13.824,"R,W",4,{2}{R}{W},uncommon,Instant,,,,,Warleader's Helix deals 4 damage to any target and you gain 4 life.
2166,Chainer's Edict,0.01,3.2,13.824,B,2,{1}{B},rare,Sorcery,,,,,"Target player sacrifices a creature.
Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2175,Elder Deep-Fiend,0.01,3.2,13.824,,8,{8},rare,Creature,,"Eldrazi,Octopus",5,6,"Flash
Emerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)
When you cast this spell, tap up to four target permanents."
2177,Eternal Dragon,0.01,3.2,13.824,W,7,{5}{W}{W},rare,Creature,,"Dragon,Spirit",5,5,"Flying
{3}{W}{W}: Return Eternal Dragon from your graveyard to your hand. Activate this ability only during your upkeep.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle your library.)"
2185,"Gideon, Ally of Zendikar",0.01,3.2,13.824,W,4,{2}{W}{W},mythic,Planeswalker,Legendary,Gideon,,,"[+1]: Until end of turn, Gideon, Ally of Zendikar becomes a 5/5 Human Soldier Ally creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
[0]: Create a 2/2 white Knight Ally creature token.
[âˆ’4]: You get an emblem with ""Creatures you control get +1/+1."""
2188,Heir of the Wilds,0.01,3.2,13.824,G,2,{1}{G},uncommon,Creature,,"Human,Warrior",2,2,"Deathtouch
Ferocious â€” Whenever Heir of the Wilds attacks, if you control a creature with power 4 or greater, Heir of the Wilds gets +1/+1 until end of turn."
2191,Knight of the Holy Nimbus,0.01,3.2,13.824,W,2,{W}{W},uncommon,Creature,,"Human,Rebel,Knight",2,2,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
If Knight of the Holy Nimbus would be destroyed, regenerate it.
{2}: Knight of the Holy Nimbus can't be regenerated this turn. Only any opponent may activate this ability."
2192,Kodama of the North Tree,0.01,3.2,13.824,G,5,{2}{G}{G}{G},rare,Creature,Legendary,Spirit,6,4,"Trample
Shroud (This creature can't be the target of spells or abilities.)"
2193,Meloku the Clouded Mirror,0.01,3.2,13.824,U,5,{4}{U},rare,Creature,Legendary,"Moonfolk,Wizard",2,4,"Flying
{1}, Return a land you control to its owner's hand: Create a 1/1 blue Illusion creature token with flying."
2195,Stupor,0.01,3.2,13.824,B,3,{2}{B},uncommon,Sorcery,,,,,"Target opponent discards a card at random, then discards a card."
2201,Vessel of Nascency,0.01,3.2,13.824,G,1,{G},common,Enchantment,,,,,"{1}{G}, Sacrifice Vessel of Nascency: Reveal the top four cards of your library. You may put an artifact, creature, enchantment, land, or planeswalker card from among them into your hand. Put the rest into your graveyard."
2203,"Anax, Hardened in the Forge",0.008,4,13.824,R,3,{1}{R}{R},uncommon,"Enchantment,Creature",Legendary,Demigod,*,3,"Anax's power is equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.)
Whenever Anax or another nontoken creature you control dies, create a 1/1 red Satyr creature token with ""This creature can't block."" If the creature had power 4 or greater, create two of those tokens instead."
2205,Arcbound Ravager,0.008,4,13.824,,2,{2},rare,"Artifact,Creature",,Beast,0,0,"Sacrifice an artifact: Put a +1/+1 counter on Arcbound Ravager.
Modular 1 (This creature enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)"
2210,Avalanche Riders,0.008,4,13.824,R,4,{3}{R},rare,Creature,,"Human,Nomad",2,2,"Haste
Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Avalanche Riders enters the battlefield, destroy target land."
2217,Blastoderm,0.008,4,13.824,G,4,{2}{G}{G},common,Creature,,Beast,5,5,"Shroud (This creature can't be the target of spells or abilities.)
Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)"
2226,Cavalier of Flame,0.008,4,13.824,R,5,{2}{R}{R}{R},mythic,Creature,,"Elemental,Knight",6,5,"{1}{R}: Creatures you control get +1/+0 and gain haste until end of turn.
When Cavalier of Flame enters the battlefield, discard any number of cards, then draw that many cards.
When Cavalier of Flame dies, it deals X damage to each opponent and each planeswalker they control, where X is the number of land cards in your graveyard."
2229,Cranial Plating,0.008,4,13.824,,2,{2},common,Artifact,,Equipment,,,"Equipped creature gets +1/+0 for each artifact you control.
{B}{B}: Attach Cranial Plating to target creature you control.
Equip {1}"
2234,Disciple of the Vault,0.008,4,13.824,B,1,{B},common,Creature,,"Human,Cleric",1,1,"Whenever an artifact is put into a graveyard from the battlefield, you may have target opponent lose 1 life."
2236,Draconic Roar,0.008,4,13.824,R,2,{1}{R},uncommon,Instant,,,,,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand.
Draconic Roar deals 3 damage to target creature. If you revealed a Dragon card or controlled a Dragon as you cast this spell, Draconic Roar deals 3 damage to that creature's controller."
2238,Fervent Champion,0.008,4,13.824,R,1,{R},rare,Creature,,"Human,Knight",1,1,"First strike, haste
Whenever Fervent Champion attacks, another target attacking Knight you control gets +1/+0 until end of turn.
Equip abilities you activate that target Fervent Champion cost {3} less to activate."
2242,Figure of Destiny,0.008,4,13.824,"R,W",1,{R/W},rare,Creature,,Kithkin,1,1,"{R/W}: Figure of Destiny becomes a Kithkin Spirit with base power and toughness 2/2.
{R/W}{R/W}{R/W}: If Figure of Destiny is a Spirit, it becomes a Kithkin Spirit Warrior with base power and toughness 4/4.
{R/W}{R/W}{R/W}{R/W}{R/W}{R/W}: If Figure of Destiny is a Warrior, it becomes a Kithkin Spirit Warrior Avatar with base power and toughness 8/8, flying, and first strike."
2248,Fires of Invention,0.008,4,13.824,R,4,{3}{R},rare,Enchantment,,,,,"You can cast spells only during your turn and you can cast no more than two spells each turn.
You may cast spells with converted mana cost less than or equal to the number of lands you control without paying their mana costs."
2252,Frogmite,0.008,4,13.824,,4,{4},common,"Artifact,Creature",,Frog,2,2,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
2258,Grim Monolith,0.008,4,13.824,,2,{2},rare,Artifact,,,,,"Grim Monolith doesn't untap during your untap step.
{T}: Add {C}{C}{C}.
{4}: Untap Grim Monolith."
2262,Growth Spiral,0.008,4,13.824,"G,U",2,{G}{U},common,Instant,,,,,Draw a card. You may put a land card from your hand onto the battlefield.
2265,Harrow,0.008,4,13.824,G,3,{2}{G},common,Instant,,,,,"As an additional cost to cast this spell, sacrifice a land.
Search your library for up to two basic land cards, put them onto the battlefield, then shuffle your library."
2278,Icatian Javelineers,0.008,4,13.824,W,1,{W},common,Creature,,"Human,Soldier",1,1,"Icatian Javelineers enters the battlefield with a javelin counter on it.
{T}, Remove a javelin counter from Icatian Javelineers: It deals 1 damage to any target."
2288,Kird Ape,0.008,4,13.824,R,1,{R},common,Creature,,Ape,1,1,Kird Ape gets +1/+2 as long as you control a Forest.
2300,Lotus Cobra,0.008,4,13.824,G,2,{1}{G},rare,Creature,,Snake,2,1,"Landfall â€” Whenever a land enters the battlefield under your control, you may add one mana of any color."
2304,Rancor,0.008,4,13.824,G,1,{G},uncommon,Enchantment,,Aura,,,"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When Rancor is put into a graveyard from the battlefield, return Rancor to its owner's hand."
2319,Reflector Mage,0.008,4,13.824,"U,W",3,{1}{W}{U},uncommon,Creature,,"Human,Wizard",2,3,"When Reflector Mage enters the battlefield, return target creature an opponent controls to its owner's hand. That creature's owner can't cast spells with the same name as that creature until your next turn."
2321,Robber of the Rich,0.008,4,13.824,R,2,{1}{R},mythic,Creature,,"Human,Archer,Rogue",2,2,"Reach, haste
Whenever Robber of the Rich attacks, if defending player has more cards in hand than you, exile the top card of their library. During any turn you attacked with a Rogue, you may cast that card and you may spend mana as though it were mana of any color to cast that spell."
2325,Runaway Steam-Kin,0.008,4,13.824,R,2,{1}{R},rare,Creature,,Elemental,1,1,"Whenever you cast a red spell, if Runaway Steam-Kin has fewer than three +1/+1 counters on it, put a +1/+1 counter on Runaway Steam-Kin.
Remove three +1/+1 counters from Runaway Steam-Kin: Add {R}{R}{R}."
2328,Scorch Spitter,0.008,4,13.824,R,1,{R},common,Creature,,"Elemental,Lizard",1,1,"Whenever Scorch Spitter attacks, it deals 1 damage to the player or planeswalker it's attacking."
2329,Sphinx of Foresight,0.008,4,13.824,U,4,{2}{U}{U},rare,Creature,,Sphinx,4,4,"You may reveal this card from your opening hand. If you do, scry 3 at the beginning of your first upkeep.
Flying
At the beginning of your upkeep, scry 1."
2331,Stone Rain,0.008,4,13.824,R,3,{2}{R},common,Sorcery,,,,,Destroy target land.
2359,Survival of the Fittest,0.008,4,13.824,G,2,{1}{G},rare,Enchantment,,,,,"{G}, Discard a creature card: Search your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library."
2365,Thran Dynamo,0.008,4,13.824,,4,{4},uncommon,Artifact,,,,,{T}: Add {C}{C}{C}.
2375,Thunderbreak Regent,0.008,4,13.824,R,4,{2}{R}{R},rare,Creature,,Dragon,4,4,"Flying
Whenever a Dragon you control becomes the target of a spell or ability an opponent controls, Thunderbreak Regent deals 3 damage to that player."
2379,Volcanic Hammer,0.008,4,13.824,R,2,{1}{R},common,Sorcery,,,,,Volcanic Hammer deals 3 damage to any target.
2391,Voltaic Key,0.008,4,13.824,,1,{1},uncommon,Artifact,,,,,"{1}, {T}: Untap target artifact."
2397,Wall of Blossoms,0.008,4,13.824,G,2,{1}{G},uncommon,Creature,,"Plant,Wall",0,4,"Defender
When Wall of Blossoms enters the battlefield, draw a card."
2410,Wilderness Reclamation,0.008,4,13.824,G,4,{3}{G},uncommon,Enchantment,,,,,"At the beginning of your end step, untap all lands you control."
2412,Wren's Run Packmaster,0.008,4,13.824,G,4,{3}{G},rare,Creature,,"Elf,Warrior",5,5,"Champion an Elf (When this creature enters the battlefield, sacrifice it unless you exile another Elf you control. When this creature leaves the battlefield, that card returns to the battlefield.)
{2}{G}: Create a 2/2 green Wolf creature token.
Wolves you control have deathtouch."
2417,"Chandra, Pyromaster",0.016,1.9,13.1328,R,4,{2}{R}{R},mythic,Planeswalker,Legendary,Chandra,,,"[+1]: Chandra, Pyromaster deals 1 damage to target player or planeswalker and 1 damage to up to one target creature that player or that planeswalker's controller controls. That creature can't block this turn.
[0]: Exile the top card of your library. You may play it this turn.
[âˆ’7]: Exile the top ten cards of your library. Choose an instant or sorcery card exiled this way and copy it three times. You may cast the copies without paying their mana costs."
